run	V(vo)
7.700000000000000e+01	5.151252e+00
7.800000000000000e+01	4.734211e+00
7.900000000000000e+01	5.070466e+00
8.000000000000000e+01	4.669367e+00
8.100000000000000e+01	5.112486e+00
8.200000000000000e+01	5.137373e+00
8.300000000000000e+01	4.857181e+00
8.400000000000000e+01	4.841918e+00
8.500000000000000e+01	4.739888e+00
8.600000000000000e+01	5.042390e+00
8.700000000000000e+01	4.953676e+00
8.800000000000000e+01	4.931590e+00
8.900000000000000e+01	4.941841e+00
9.000000000000000e+01	4.784802e+00
9.100000000000000e+01	5.090289e+00
9.200000000000000e+01	5.037740e+00
9.300000000000000e+01	5.232211e+00
9.400000000000000e+01	4.855769e+00
9.500000000000000e+01	4.920671e+00
9.600000000000000e+01	4.797125e+00
9.700000000000000e+01	4.671666e+00
9.800000000000000e+01	5.232174e+00
9.900000000000000e+01	5.270607e+00
1.000000000000000e+02	4.791582e+00
1.010000000000000e+02	5.369035e+00
1.020000000000000e+02	4.633421e+00
1.030000000000000e+02	5.197814e+00
1.040000000000000e+02	4.852261e+00
1.050000000000000e+02	4.727111e+00
1.060000000000000e+02	4.650465e+00
1.070000000000000e+02	4.784659e+00
1.080000000000000e+02	5.048828e+00
1.090000000000000e+02	4.841016e+00
1.100000000000000e+02	5.284932e+00
1.110000000000000e+02	4.976177e+00
1.120000000000000e+02	4.815492e+00
1.130000000000000e+02	5.012955e+00
1.140000000000000e+02	4.984622e+00
1.150000000000000e+02	4.785336e+00
1.160000000000000e+02	4.683987e+00
1.170000000000000e+02	4.750767e+00
1.180000000000000e+02	4.883093e+00
1.190000000000000e+02	4.662097e+00
1.200000000000000e+02	4.601006e+00
1.210000000000000e+02	4.752210e+00
1.220000000000000e+02	4.923274e+00
1.230000000000000e+02	4.967432e+00
1.240000000000000e+02	4.629328e+00
1.250000000000000e+02	4.807080e+00
1.260000000000000e+02	5.110341e+00
1.270000000000000e+02	4.873147e+00
1.280000000000000e+02	5.169803e+00
1.290000000000000e+02	5.311299e+00
1.300000000000000e+02	5.034700e+00
1.310000000000000e+02	5.294128e+00
1.320000000000000e+02	4.782530e+00
